,Builder Name,Builder Rating,Phone Numbers,Address,Work They Do,WorkingHours,Year Established
36, Venkateswarlu I,None,+(91)-866-2472919 ,"Moghalraja Puram, Vijayawada - 520010, Siddartha College Road", * Architects * Civil Engineers * Structural Engineers Less,"{'Thursday': '05:30 am - 05:30 am', 'Sunday': '05:30 am - 05:30 am', 'Monday': '05:30 am - 05:30 am', 'Saturday': '05:30 am - 05:30 am', 'Friday': '05:30 am - 05:30 am', 'Tuesday': '05:30 am - 05:30 am', 'Wednesday': '05:30 am - 05:30 am'}",
37, Decisions Structural Engineers,None,+(91)-9246475767 ,"40-5-19/9, Moghalraja Puram, Vijayawada - 520010, Opp Siddhartha Arts College", * Architects * Structural Engineers Less,"{'Thursday': '10:00 am - 10:00 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 10:00 pm', 'Saturday': '10:00 am - 10:00 pm', 'Friday': '10:00 am - 10:00 pm', 'Tuesday': '10:00 am - 10:00 pm', 'Wednesday': '10:00 am - 10:00 pm'}",
38, A L Studio,4.6,+(91)-7799080907 ,"10733-F1, Moghalraja Puram, Vijayawada - 520010, Opp To siddhartha Public school", * Architects * Interior Designers * Interior Decorators * Architects For Building * Interior Decorators for Residences * Interior Decorators For Office * Interior Designers For Office * Commercial Architects * Architects For Temple * Residence Interior Designers * Architect Interior * Commercial Interior Designers * Architects For Landscape * Interior Decorators For Kitchen * Architects & Interior Decorator * Interior Designers For Architect * Architects For Water Park * Architects For Residential Less,"{'Thursday': '08:00 am - 10:00 pm', 'Sunday': '08:00 am - 10:00 pm', 'Monday': '08:00 am - 10:00 pm', 'Saturday': '08:00 am - 10:00 pm', 'Friday': '08:00 am - 10:00 pm', 'Tuesday': '08:00 am - 10:00 pm', 'Wednesday': '08:00 am - 10:00 pm'}",
39, Sree Harsha Planners,1.0,+(91)-9346225863 ,"27-12-38, Alibaig Street, Mg Road, Vijayawada - 520002, Opp Vk Super Bazar", * Architects * Commercial Architects * Architects For Ships * Architects For Residential Less,{},
40, Harsha Architects,5.0,+(91)-7702600999 7306064965 ,"New Postal Colony, Patamata, Vijayawada - 520010, Church Road", * Architects * Interior Designers * Interior Designers For Office * Architects For Temple * Residence Interior Designers * Associations Of Architects * Architects For Landscape * Institutes For Computer Interior Designers * Architects For Residential Less,"{'Thursday': '12:00 am - 11:59 pm', 'Sunday': 'Closed', 'Monday': '12:00 am - 11:59 pm', 'Saturday': '12:00 am - 11:59 pm', 'Friday': '12:00 am - 11:59 pm', 'Tuesday': '12:00 am - 11:59 pm', 'Wednesday': '12:00 am - 11:59 pm'}", 2010
41, Shiva Sai Constructions,None,+(91)-9885893254 9912353815 ,"Door No 31.8.5, Andhra Bank Street, Maruthi Nagar, Vijayawada - 520004, Near Andhra Bank", * Architects * Civil Contractors * Commercial Architects * Architects For Residential Less,"{'Thursday': '09:30 am - 10:30 pm', 'Sunday': 'Closed', 'Monday': '09:30 am - 10:30 pm', 'Saturday': '09:30 am - 10:30 pm', 'Friday': '09:30 am - 10:30 pm', 'Tuesday': '09:30 am - 10:30 pm', 'Wednesday': '09:30 am - 10:30 pm'}", 2011
42, Ds Architects & Engineers,None,+(91)-866-6642559 ,"9 Brhamananda Reddy Complex, Machavaram, Vijayawada - 520004, Ch Gunta"," * Architects
 Less",{},
43, R K Associates,None,+(91)-866-2485860 2495860 ,"D no 37-5-7/A, Water tank road, Labbipet, Vijayawada - 520010, Opp Indira Gandhi stadium", * Architects * Architects For Building * Commercial Architects * Building Elevation Works * Industrial Architects * Architects For Office * Architects For Bungalow * Architects For Mall * Engineer For Designing * Architects For Hospital * Architects For Residential Less,"{'Thursday': '08:00 am - 09:00 pm', 'Sunday': '08:00 am - 09:00 pm', 'Monday': '08:00 am - 09:00 pm', 'Saturday': '08:00 am - 09:00 pm', 'Friday': '08:00 am - 09:00 pm', 'Tuesday': '08:00 am - 09:00 pm', 'Wednesday': '08:00 am - 09:00 pm'}", 1997
44, advitha associates,None,+(91)-9550558881 9160168881 ,"Sangeetha Apartments G 3, Gayatri Nagar, Vijayawada - 520008, Opposite Aircosta Office", * Architects * Interior Designers * Architects For Building * Commercial Architects * Commercial Interior Designers * Interior Designers For Shops * Architects For Residential Less,"{'Thursday': '09:00 am - 06:30 pm', 'Sunday': 'Closed', 'Monday': '09:00 am - 06:30 pm', 'Saturday': '09:00 am - 06:30 pm', 'Friday': '09:00 am - 06:30 pm', 'Tuesday': '09:00 am - 06:30 pm', 'Wednesday': '09:00 am - 06:30 pm'}", 2015
45, Venkata Ramana S,None,+(91)-866-2476942 2477992 ,"#40-1/1-18, Moghal rajapuram road, Labbipet, Vijayawada - 520010, Mr Puram Road", * Architects * Chartered Engineers Less,"{'Thursday': '09:00 am - 08:00 pm', 'Sunday': '09:00 am - 08:00 pm', 'Monday': '09:00 am - 08:00 pm', 'Saturday': '09:00 am - 08:00 pm', 'Friday': '09:00 am - 08:00 pm', 'Tuesday': '09:00 am - 08:00 pm', 'Wednesday': '09:00 am - 08:00 pm'}", 1985
46, Melimi planers,None,+(91)-9849569221 ,"#39-11-5, Turlapati Kutumbarao Street, Labbipet, Vijayawada - 520010, Beside dimple bar", * Architects * Civil Contractors * Building Contractors * Construction Contractors * Contractors * Structural Engineers * Civil Engineer Contractor * Planning Consultants * Civil Engg. & Contractors Less,"{'Thursday': '10:00 am - 08:00 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 08:00 pm', 'Saturday': '10:00 am - 08:00 pm', 'Friday': '10:00 am - 08:00 pm', 'Tuesday': '10:00 am - 08:00 pm', 'Wednesday': '10:00 am - 08:00 pm'}", 1999
47, architect design siva,1.0,+(91)-7660097030 ,"23-89-2, kamala street, Gandhi Nagar, Vijayawada - 520003, Raj Cinema"," * Architects
 Less","{'Thursday': '09:30 am - 09:00 pm', 'Sunday': 'Closed', 'Monday': '09:30 am - 09:00 pm', 'Saturday': '09:30 am - 09:00 pm', 'Friday': '09:30 am - 09:00 pm', 'Tuesday': '09:30 am - 09:00 pm', 'Wednesday': '09:30 am - 09:00 pm'}", 2004
48, Dyna Constructions,None,+(91)-866-2470156 +(91)-9848113156 ,"Labbipet, Vijayawada - 520010, B/S Andhra Jyothi", * Builders * Architects * Builders & Developers Less,"{'Thursday': '05:30 am - 05:30 am', 'Sunday': '05:30 am - 05:30 am', 'Monday': '05:30 am - 05:30 am', 'Saturday': '05:30 am - 05:30 am', 'Friday': '05:30 am - 05:30 am', 'Tuesday': '05:30 am - 05:30 am', 'Wednesday': '05:30 am - 05:30 am'}",
49, LLoyd Associates,None,+(91)-866-2472499 +(91)-9392924469 ,"Door No 39-4-15, Labbipet, Vijayawada - 520010, Near Y V Rao Hospital", * Architects * Architects For Building * Commercial Architects * Architects For Bungalow * Architects For Residential Less,"{'Thursday': '10:00 am - 06:30 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 06:30 pm', 'Saturday': '10:00 am - 06:30 pm', 'Friday': '10:00 am - 06:30 pm', 'Tuesday': '10:00 am - 06:30 pm', 'Wednesday': '10:00 am - 06:30 pm'}", 2005
50, Deepak Kandula,None,+(91)-9885856677 ,"Gf-6 Anjana Apartments Water Tank Road Labbipet Vijayawada, Labbipet, Vijayawada - 520010", * Architects * Architects For Building * Commercial Architects * Architects For Landscape * Architects For Hotels * Industrial Architects * Architects For Office * Architects For Resorts * Architects For Water Park * Architects For Bungalow * Interior Designers For Architect * Architects For Apartment * Architects For Petrol Pumps * Architects For Restaurant * Architects For Hospital * Architects For Mall * Architects For Amusement Park * Architects For Shopping Centre * Architects For Auditorium * Architects For Health Club * Architects For Spa * Sustainable Architects * Architects For Bank * Architects For Business Centre * Architects For Stadium * Architects For Showroom * Architects For Call Centre * Architects For Departmental Store * Architects For Factory * Architects For Residential Less,"{'Thursday': '10:00 am - 09:00 pm', 'Sunday': '10:00 am - 09:00 pm', 'Monday': '10:00 am - 09:00 pm', 'Saturday': '10:00 am - 09:00 pm', 'Friday': '10:00 am - 09:00 pm', 'Tuesday': '10:00 am - 09:00 pm', 'Wednesday': '10:00 am - 09:00 pm'}", 2009
51, Sindu Air conditioning & interiors,None,+(91)-9000007867 ,"Labbipet, Vijayawada - 520010, near indira gandhi municipal staduim", * Architects * Interior Designers Less,"{'None': 'None', 'Monday': '05:30 am - 05:30 am'}", 2010
52, Green Belt Constructions Pvt Ltd,None,+(91)-866-2484786 +(91)-9248027100 ,"#59A-15-35, Badraiah Nagar, Benz Circle, Vijayawada - 520010, Near Ntr Statue", * Architects * Building Contractors * Structural Engineers * Architect Interior Less,"{'Thursday': '09:00 am - 06:00 pm', 'Sunday': '09:00 am - 06:00 pm', 'Monday': '09:00 am - 06:00 pm', 'Saturday': '09:00 am - 06:00 pm', 'Friday': '09:00 am - 06:00 pm', 'Tuesday': '09:00 am - 06:00 pm', 'Wednesday': '09:00 am - 06:00 pm'}", 2015
53, Venkata Planners,None,+(91)-8985493601 ,"#67-8-21, Nallurivari Street, Patamata, Vijayawada - 520010, near E seva road", * Architects * Architects For Building * Commercial Architects * Architects For Temple * Architect Interior * Building Surveyors * Architects For Hotels * Industrial Architects * Architects For Bungalow Less,"{'Thursday': '10:30 am - 05:30 pm', 'Sunday': 'Closed', 'Monday': '10:30 am - 05:30 pm', 'Saturday': '10:30 am - 05:30 pm', 'Friday': '10:30 am - 05:30 pm', 'Tuesday': '10:30 am - 05:30 pm', 'Wednesday': '10:30 am - 05:30 pm'}", 2006
54, CS Associates,5.0,+(91)-9391244344 ,"#30-15-23, BVR Road, Seetharampuram, Vijayawada - 520004, Kothavanthena Center", * Architects * Civil Engineers * Structural Engineers Less,"{'Thursday': '09:30 am - 09:00 pm', 'Sunday': '09:30 am - 01:00 pm', 'Monday': '09:30 am - 09:00 pm', 'Saturday': '09:30 am - 09:00 pm', 'Friday': '09:30 am - 09:00 pm', 'Tuesday': '09:30 am - 09:00 pm', 'Wednesday': '09:30 am - 09:00 pm'}", 2014
55, Sree Constructions,5.0,+(91)-866-6630504 +(91)-9703369888 ,"Door No 29-19-44, Suryarao Pet, Vijayawada - 520002, Dk Road", * Builders & Developers * Builders * Architects * Civil Engineers * Engineers * Structural Engineers Less,"{'Thursday': '08:00 am - 09:00 pm', 'Sunday': '08:00 am - 09:00 pm', 'Monday': '08:00 am - 09:00 pm', 'Saturday': '08:00 am - 09:00 pm', 'Friday': '08:00 am - 09:00 pm', 'Tuesday': '08:00 am - 09:00 pm', 'Wednesday': '08:00 am - 09:00 pm'}", 1993
56, Sirricon Engineers,None,+(91)-866-2451104 +(91)-9246222846 ,"#48-12-1,andhra bank building, ring road, Gunadala, Vijayawada - 520004, near kay hotel", * Architects * Property Valuers * Structural Engineers * Valuers For Land * Chartered Engineers * Valuers For Building * Valuers For Chartered Engineer Less,"{'Thursday': '09:00 am - 06:30 pm', 'Sunday': 'Closed', 'Monday': '09:00 am - 06:30 pm', 'Saturday': '09:00 am - 06:30 pm', 'Friday': '09:00 am - 06:30 pm', 'Tuesday': '09:00 am - 06:30 pm', 'Wednesday': '09:00 am - 06:30 pm'}", 2003
57, Hayy Consultants,None,+(91)-866-6522786 +(91)-9949464444 ,"Door No.32-26-57/1, Eluru Road, Machavaram, Vijayawada - 520004, Near S.r.r College", * Architects * Interior Designers Less,"{'Thursday': '05:30 am - 05:30 am', 'Sunday': '05:30 am - 05:30 am', 'Monday': '05:30 am - 05:30 am', 'Saturday': '05:30 am - 05:30 am', 'Friday': '05:30 am - 05:30 am', 'Tuesday': '05:30 am - 05:30 am', 'Wednesday': '05:30 am - 05:30 am'}", 2009
58, planat us architects,4.9,+(91)-9642724212 ,"Architects House, anumkondavari street, Machavaram, Vijayawada - 520004, anjanyaswamy temple", * Builders * Architects * Construction Companies * Interior Designers * Builders & Developers * Construction Contractors * Architects For Building * Interior Designers For Office * Interior Designers For Institution * Commercial Architects * Architects For Temple * Residential Builders * Residence Interior Designers * Architect Interior * Interior Designers For Kitchen * Commercial Interior Designers * Architects For Landscape * Commercial Builders * Landscape Designers * Interior Designers For Shopping Mall * Exterior Designers * Industrial Architects * Interior Designers For Shops * Interior Designer School * Architects For Office * Builders & Promoters * Architects For Hotels * Architects For Resorts * Interior Designers For Wall * Architects For Bungalow * Architects For Water Park * Architects For Apartment * Interior Designers For Architect * Architects For Petrol Pumps * Architects For Restaurant * Architects For Schools * Architects For Church * Interior Designers For Showroom * Architects For Hospital * Architects For Amusement Park * Interior Designers For Restaurant * Architect Chartered * Pre Engineered Building Designers * Architects For Mall * Architects For Shopping Centre * Sustainable Architects * Islamic Architects * Roman Architects * Architects For Bridges * Architects For Spa * Architects For Residential * Architects For Bank * Architects For Auditorium * Architects For Stadium * Architects For Business Centre * Architects For Call Centre * Architects For Departmental Store * Architects For Factory * Architects For Health Club * Architects For Showroom * Architects For Ships Less,"{'Thursday': '08:00 am - 09:30 pm', 'Sunday': '08:00 am - 09:30 pm', 'Monday': '08:00 am - 09:30 pm', 'Saturday': '08:00 am - 09:30 pm', 'Friday': '08:00 am - 09:30 pm', 'Tuesday': '08:00 am - 09:30 pm', 'Wednesday': '08:00 am - 09:30 pm'}", 2009
59, Sudhakar N,None,+(91)-866-2438820 ,"29-09-60/1, Grn Street, Suryaraopet, Vijayawada - 520002", * Architects * Architects For Mall * Architects Directories Less,{},
60, Sri Konda Ramesh,None,+(91)-866-2492882 +(91)-9676404850 ,"Plot No121st Road Rtc Colony, P&T Colony, Vijayawada - 520008, Near SAI Baba Temple", * Architects * Architects For Building * Commercial Architects * Architects For Bungalow * Architects For Residential Less,"{'Thursday': '10:00 am - 06:30 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 06:30 pm', 'Saturday': '10:00 am - 06:30 pm', 'Friday': '10:00 am - 06:30 pm', 'Tuesday': '10:00 am - 06:30 pm', 'Wednesday': '10:00 am - 06:30 pm'}",
61, Rajeshwara Rao Suryadevara,None,+(91)-866-2491509 2478779 ,"24 2nd Cross Svkp Colony Gurunanak Main Road, P&T Colony, Vijayawada - 520008", * Architects * Architects For Building * Commercial Architects * Architects For Bungalow Less,"{'Thursday': '10:00 am - 06:30 pm', 'Sunday': '12:00 am - 11:59 pm', 'Monday': '10:00 am - 06:30 pm', 'Saturday': '10:00 am - 06:30 pm', 'Friday': '10:00 am - 06:30 pm', 'Tuesday': '10:00 am - 06:30 pm', 'Wednesday': '10:00 am - 06:30 pm'}",
62, Mohanababu Parasaram,None,+(91)-9703114678 9848124781 ,"Krishna Lanka, Vijayawada - 520013, Purna Chandra Nagar", * Architects * Architects For Building * Commercial Architects * Architects For Bungalow * Architects For Residential Less,"{'Thursday': '09:00 am - 06:00 pm', 'Sunday': 'Closed', 'Monday': '09:00 am - 06:00 pm', 'Saturday': '09:00 am - 06:00 pm', 'Friday': '09:00 am - 06:00 pm', 'Tuesday': '09:00 am - 06:00 pm', 'Wednesday': '09:00 am - 06:00 pm'}", 1994
63, RM Architects & Engineers,None,+(91)-9985378500 ,"Putta Road, Krishna Lanka, Vijayawada - 520013, Ravi Publishers Backside", * Architects * Architects For Building * Architect Interior * Consultant Architect * Architects & Interior Decorator * Architect Designer * Architects For Residential Less,"{'Thursday': '10:00 am - 08:00 pm', 'Sunday': '12:00 am - 11:59 pm', 'Monday': '10:00 am - 08:00 pm', 'Saturday': '10:00 am - 08:00 pm', 'Friday': '10:00 am - 08:00 pm', 'Tuesday': '10:00 am - 08:00 pm', 'Wednesday': '10:00 am - 08:00 pm'}", 2005
64, Venkata Lakshmi Bondalapati,None,+(91)-9848371979 ,"#58-2-7A, Pantakaluva Road, Patamata, Vijayawada - 520010, near NTR circle", * Architects * Architects For Building * Commercial Architects * Associations Of Architects * Architects For Bungalow * Architects For Water Park * Architect Designer * Architects For Residential Less,"{'Thursday': '10:00 am - 06:30 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 06:30 pm', 'Saturday': '10:00 am - 06:30 pm', 'Friday': '10:00 am - 06:30 pm', 'Tuesday': '10:00 am - 06:30 pm', 'Wednesday': '10:00 am - 06:30 pm'}", 2003
65, Inventive Architects,4.8,+(91)-9052725803 ,"Srinagar Colony, Satyanarayanapuram, Vijayawada - 520011", * Architects * Architects For Building * Commercial Architects * Architects For Temple * Architect Interior * Architects For Landscape * Industrial Architects * Architects For Office * Architects For Hotels * Architects For Resorts * Architects For Bungalow * Architects For Water Park * Architects For Apartment * Interior Designers For Architect * Architects For Schools * Architects For Church * Architects For Petrol Pumps * Architects For Restaurant * Architects For Shopping Centre * Architects For Amusement Park * Architects For Mall * Architect Chartered * Architects For Hospital * Islamic Architects * Sustainable Architects * Architects For Spa * Architects For Bridges * Roman Architects * Architects For Stadium * Architects For Business Centre * Architects For Call Centre * Architects For Departmental Store * Architects For Factory * Architects For Health Club * Architects For Bank * Architects For Auditorium * Architects For Ships * Architects For Showroom * Architects For Residential Less,{}, 2009
66, Ramkrishna Sistla Architects Engineers Valuers Contractors,None,+(91)-9848043511 ,"#23-22-43,Shop no:1,Sravani Apartments, Giri Street, Satyanarayanapuram, Vijayawada - 520011, Beside Axis Bank Atm", * Architects * Civil Engineers * Architects For Building * Architects For Landscape * Architects For Residential Less,"{'Thursday': '09:00 am - 07:00 pm', 'Sunday': '09:00 am - 07:00 pm', 'Monday': '09:00 am - 07:00 pm', 'Saturday': '09:00 am - 07:00 pm', 'Friday': '09:00 am - 07:00 pm', 'Tuesday': '09:00 am - 07:00 pm', 'Wednesday': '09:00 am - 07:00 pm'}", 2000
67, Hamza Group,5.0,+(91)-866-2576259 +(91)-9848246586 ,"Plot No 1, Lotus Enclave, Museum Road, Vijayawada - 520002", * Architects * Civil Contractors Less,"{'Thursday': '09:00 am - 09:00 pm', 'Sunday': 'Closed', 'Monday': '09:00 am - 09:00 pm', 'Saturday': '09:00 am - 09:00 pm', 'Friday': '09:00 am - 09:00 pm', 'Tuesday': '09:00 am - 09:00 pm', 'Wednesday': '09:00 am - 09:00 pm'}", 1990
68, Dzine Pit,2.7,+(91)-8008800343 9533131544 ,"Pasupu Thota Colony, Madhura Nagar, Vijayawada - 520004", * Architects * Interior Designers * Architects For Building * Interior Designers For Office * Commercial Architects * Residence Interior Designers * Interior Designers For Kitchen * Commercial Interior Designers * Architects For Landscape * Interior Designers For Shopping Mall * 3D Interior Designers * Interior Designers For Shops * Interior Designer School * Architects For Bungalow * Interior Designers For Architect * Interior Designers For Jewellery Showroom * Interior Designers For Showroom * Interior Designers For Restaurant * Interior Designer Corporate * Interior Designers For Hotels * Interior Designers For Bungalow * Interior Designers For Apartment * Architects For Residential Less,"{'Thursday': '05:30 am - 05:30 am', 'Sunday': '05:30 am - 05:30 am', 'Monday': '05:30 am - 05:30 am', 'Saturday': '05:30 am - 05:30 am', 'Friday': '05:30 am - 05:30 am', 'Tuesday': '05:30 am - 05:30 am', 'Wednesday': '05:30 am - 05:30 am'}", 2012
69, Vastu Silpa,None,+(91)-866-2430122 +(91)-9848302804 ,"29-37-90, 2nd Floor, Eluru Road, Vijayawada - 520002, Near Vijaya Talkies", * Architects * Architects For Building * Commercial Architects * Industrial Architects * Architects For Apartment * Architects For Bungalow * Architects For Residential Less,"{'Thursday': '09:00 am - 08:00 pm', 'Sunday': 'Closed', 'Monday': '09:00 am - 08:00 pm', 'Saturday': '09:00 am - 08:00 pm', 'Friday': '09:00 am - 08:00 pm', 'Tuesday': '09:00 am - 08:00 pm', 'Wednesday': '09:00 am - 08:00 pm'}", 1995
70, G R Planners,None,+(91)-9848662429 ,"#49-1-35,1st Floor, Eluru Road, Gunadala, Vijayawada - 520004, Beside Sivalayam", * Architects * Architects For Building * Commercial Architects * Architect Interior * Architects For Hotels * Architects For Office * Architects For Hospital * Database For Architects * Architects For Residential Less,"{'Thursday': '10:00 am - 07:00 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 07:00 pm', 'Saturday': '10:00 am - 07:00 pm', 'Friday': '10:00 am - 07:00 pm', 'Tuesday': '10:00 am - 07:00 pm', 'Wednesday': '10:00 am - 07:00 pm'}", 2004
71, Gelli Ramesh Kumar M,1.0,+(91)-866-2576256 +(91)-9246476761 ,"26-20-30, Swamy Street, Gandhi Nagar, Vijayawada - 520003", * Architects * Civil Engineers * Chartered Engineers Less,"{'Thursday': '05:30 am - 05:30 am', 'Sunday': '05:30 am - 05:30 am', 'Monday': '05:30 am - 05:30 am', 'Saturday': '05:30 am - 05:30 am', 'Friday': '05:30 am - 05:30 am', 'Tuesday': '05:30 am - 05:30 am', 'Wednesday': '05:30 am - 05:30 am'}",
72, Ramarao T Gandhinagar,None,+(91)-866-2575541 ,"Gnanolive Street, Gandhi Nagar, Vijayawada - 520003"," * Architects
 Less","{'Thursday': '05:30 am - 05:30 am', 'Sunday': '05:30 am - 05:30 am', 'Monday': '05:30 am - 05:30 am', 'Saturday': '05:30 am - 05:30 am', 'Friday': '05:30 am - 05:30 am', 'Tuesday': '05:30 am - 05:30 am', 'Wednesday': '05:30 am - 05:30 am'}",
73, Sarojini Associates,None,+(91)-9247422963 ,"Gunadala, Vijayawada - 520004, Near Gunadala Panchayti Office", * Architects * Interior Designers * Interior Designers For Restaurant * Architects For Residential Less,"{'Thursday': '09:30 am - 06:30 pm', 'Sunday': 'Closed', 'Monday': '09:30 am - 06:30 pm', 'Saturday': '09:30 am - 06:30 pm', 'Friday': '09:30 am - 06:30 pm', 'Tuesday': '09:30 am - 06:30 pm', 'Wednesday': '09:30 am - 06:30 pm'}", 2010
74, Sirisha Mente,None,+(91)-866-3251408 +(91)-9441908382 ,"Flat N0303 Pavuluriplaza Gunadala Vijayawada, Gunadala, Vijayawada - 520004", * Architects * Architects For Building * Commercial Architects * Architects For Bungalow * Architects For Residential Less,"{'Thursday': '10:00 am - 06:30 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 06:30 pm', 'Saturday': '10:00 am - 06:30 pm', 'Friday': '10:00 am - 06:30 pm', 'Tuesday': '10:00 am - 06:30 pm', 'Wednesday': '10:00 am - 06:30 pm'}",
75, Sridhar Babu Linga,None,+(91)-9394110092 ,"59- 15-6 Bhadraiah Nagar Patamata, Patamata, Vijayawada - 520010", * Architects * Architects For Building * Commercial Architects * Architects For Bungalow * Architects For Residential Less,"{'Thursday': '10:00 am - 06:30 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 06:30 pm', 'Saturday': '10:00 am - 06:30 pm', 'Friday': '10:00 am - 06:30 pm', 'Tuesday': '10:00 am - 06:30 pm', 'Wednesday': '10:00 am - 06:30 pm'}",
76, Tejaswi Engineers,3.0,+(91)-9849344600 ,"C 3, Vijaya Soudha Apartments, # 56-11-10, Patamata, Vijayawada - 520010, High School Road", * Architects * Architects For Building * Structural Engineering Consultants Less,"{'Thursday': '09:00 am - 08:00 pm', 'Sunday': 'Closed', 'Monday': '09:00 am - 08:00 pm', 'Saturday': '09:00 am - 08:00 pm', 'Friday': '09:00 am - 08:00 pm', 'Tuesday': '09:00 am - 08:00 pm', 'Wednesday': '09:00 am - 08:00 pm'}", 2012
77, Keerthi Naidu,3.0,+(91)-9704072387 ,"D No-20-8-10a SAI Tejesh Residency Ayodhya Nagar, Ayodya Nagar, Vijayawada - 520003", * Architects * Architects For Building * Commercial Architects * Architects For Bungalow * Architects For Residential Less,"{'Thursday': '10:00 am - 06:30 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 06:30 pm', 'Saturday': '10:00 am - 06:30 pm', 'Friday': '10:00 am - 06:30 pm', 'Tuesday': '10:00 am - 06:30 pm', 'Wednesday': '10:00 am - 06:30 pm'}",
78, Guturu Karteek,None,+(91)-866-2729134 ,"1014 Block No 10 Lotus Akash Lotus Landmark Ayodhya Nagar Vijayawada, Ayodya Nagar, Vijayawada - 520003", * Architects * Architects For Building * Commercial Architects * Architects For Bungalow * Architects For Residential Less,"{'Thursday': '10:00 am - 06:30 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 06:30 pm', 'Saturday': '10:00 am - 06:30 pm', 'Friday': '10:00 am - 06:30 pm', 'Tuesday': '10:00 am - 06:30 pm', 'Wednesday': '10:00 am - 06:30 pm'}",
79, Soham Consultants,None,+(91)-866-6532848 +(91)-9393100531 ,"26-7-17, Garikapativari Street, Gandhi Nagar, Vijayawada - 520003", * Architects * Aircraft Charter Engineers Less,"{'Thursday': '09:30 am - 06:30 pm', 'Sunday': 'Closed', 'Monday': '09:30 am - 06:30 pm', 'Saturday': '09:30 am - 06:30 pm', 'Friday': '09:30 am - 06:30 pm', 'Tuesday': '09:30 am - 06:30 pm', 'Wednesday': '09:30 am - 06:30 pm'}",
80, Royal Associates,5.0,+(91)-9849687723 ,"1st Floor, Ilapuram Lane, Gandhi Nagar, Vijayawada - 520003, Opposite Hotel Ilapuram", * Architects * Architects For Building * Commercial Architects * Architects For Temple * Architect Interior * Structural Designing Services * Architects For Landscape * Building Surveyors * Consultant Engineer Civil * Industrial Architects * Architects For Office * Architects For Resorts * Architects For Bungalow * Architects For Apartment * Architects For Church * Architects For Schools * Architects For Restaurant * Architects For Hospital * Architects For Residential Less,"{'Thursday': '10:00 am - 09:00 pm', 'Sunday': '10:00 am - 09:00 pm', 'Monday': '10:00 am - 09:00 pm', 'Saturday': '10:00 am - 09:00 pm', 'Friday': '10:00 am - 09:00 pm', 'Tuesday': '10:00 am - 09:00 pm', 'Wednesday': '10:00 am - 09:00 pm'}", 2006
81, Vinay Sagar Kommini,None,+(91)-9490251515 ,"Pandit Jawaharlal Nehru Road, Vijayawada - 520001", * Architects * Architects For Building * Architects For Residential * Commercial Architects * Architects For Office Less,"{'Thursday': '10:00 am - 06:30 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 06:30 pm', 'Saturday': '10:00 am - 06:30 pm', 'Friday': '10:00 am - 06:30 pm', 'Tuesday': '10:00 am - 06:30 pm', 'Wednesday': '10:00 am - 06:30 pm'}",
82, Prasad Babu,None,+(91)-9985500614 ,"Door No 43-100-7, Singh Nagar, Vijayawada - 520015, P & T Colony", * Architects * Commercial Architects * Architects For Residential Less,"{'Thursday': '09:30 am - 06:30 pm', 'Sunday': 'Closed', 'Monday': '09:30 am - 06:30 pm', 'Saturday': '09:30 am - 06:30 pm', 'Friday': '09:30 am - 06:30 pm', 'Tuesday': '09:30 am - 06:30 pm', 'Wednesday': '09:30 am - 06:30 pm'}",
83, Green House Associates,None,+(91)-9030175615 8885556274 ,"House No 74-16-11, 1st Floor, Yanmalakuduru Lock Road, Patamata, Vijayawada - 520010, Opposite Commercial Tax Office", * Architects * Interior Designers * Civil Engineers * Architects For Building * Placement Services For Architect (Candidate) * Structural Engineers * Interior Designers For Office * Interior Designers For Institution * Commercial Architects * Architects For Temple * Residence Interior Designers * Architect Interior * Interior Designers For Kitchen * Civil Engineer Contractor * Structural Designing Services * Commercial Interior Designers * Associations Of Architects * Architects For Landscape * Structural Consultants * Structural Engineering Consultants * Interior Designers For Furniture * Interior Designers For Shops * Interior Designer School * Industrial Architects * Architects For Office * Architects For Hotels * Architects For Resorts * Interior Designers For Wall * Institutes For Computer Interior Designers * Architects For Bungalow * Architects For Schools * Architects For Church * Architects For Restaurant * Interior Designers For Restaurant * Architect Designer * Architects For Hospital * Architects For Auditorium * Architects For Residential Less,"{'Thursday': '09:00 am - 09:00 pm', 'Sunday': 'Closed', 'Monday': '09:00 am - 09:00 pm', 'Saturday': '09:00 am - 09:00 pm', 'Friday': '09:00 am - 09:00 pm', 'Tuesday': '09:00 am - 09:00 pm', 'Wednesday': '09:00 am - 09:00 pm'}", 2011
